Dati presi il 23 maggio

-------------- Rivelatori con asse orientato in direzione NORD-SUD --------------

N.B. Angoli est   --> positivi
N.B. Angoli ovest --> negativi	

theta = 0°

 I prova
55286 13514 698 
109725 27495 1380 
164544 41101 2084 
218402 55108 2776 
272705 69637 3499 
326617 85025 4220 
380959 100789 4947 
434552 116668 5636 
489380 132428 6336 
543630 148056 7054 
597986 163913 7787 
652989 179552 8534 
707237 195382 9273 
761770 210570 9954 
816229 226304 10617 
870004 241857 11330 
924135 257495 12089 
979101 273161 12772  

 II prova
50497 12662 607 
100770 24686 1280 
150514 36907 1885 
201461 48336 2646 
251310 58097 3371 
301697 68132 4093 
352381 78233 4813 
402478 88153 5586 
453208 98302 6273 
503581 108482 6962 
554034 118772 7671 
605546 129023 8463 
656007 139770 9366 
705171 149868 10154 
755908 160026 10893 
805693 169902 11588 
855821 180135 12257 
905975 190207 12999 

* Rotazioni verso Est

theta = 10°

50809 14731 675 
101472 29550 1357 
151823 44297 2098 
202449 59001 2740 
251969 73763 3401 
302652 89422 4126 
353098 104753 4872 
403374 119758 5560 
453895 134882 6338 
505421 149452 7098 
555558 164804 7760 
606189 180560 8486 
656593 195840 9209 
706272 211049 9844 
756783 226694 10610 
806842 242173 11315 
857494 258031 12009 
907374 273155 12709 

theta = 20°

49887 16717 682 
99518 33125 1406 
149614 49961 2144 
198545 66599 2906 
247660 83135 3538 
297052 99837 4274 
345740 116261 4957 
394557 132609 5666 
443314 149559 6360 
492996 165702 7075 
542451 182277 7737 
591387 198392 8406 
640445 215015 9105 
690091 231454 9816 
739864 248057 10504 
788395 264498 11186 
837513 281541 11904 
886907 297937 12644  

theta = 30°

50136 14544 625 
100111 29658 1240 
150800 45156 1944 
200346 60215 2560 
251013 75258 3233 
300434 90239 3859 
350200 105412 4492 
400029 120572 5129 
450384 135754 5810 
499664 150903 6404 
549913 166186 7063 
599064 181175 7669 
649033 196516 8280 
698748 211995 8856 
748860 227015 9440 
798688 242588 10065 
848448 257504 10641 
898347 272846 11255 

theta = 40°

50496 14548 559 
100731 29333 1079 
150960 44084 1615 
201052 58790 2158 
251364 73395 2741 
301659 87606 3300 
353015 102043 3864 
403906 116486 4427 
454826 131211 4968 
506282 146288 5507 
556947 161187 6103 
607691 175974 6671 
658350 190996 7232 
708816 205657 7742 
759000 220311 8285 
810125 235652 8842 
860313 250723 9375 
911017 265282 9890 

theta = 50°

50868 13253 405 
101840 27078 857 
153777 40696 1385 
204645 54514 1762 
256500 68043 2275 
307447 81492 2709 
359309 95542 3214 
410662 109590 3642 
462217 123700 4173 
513657 136950 4701 
565628 150110 5157 
616904 163470 5587 
668487 177221 6074 
720779 190845 6592 
772110 204294 7106 
823082 217646 7595 
874569 231014 8022 
925422 244752 8437 

theta = 60°

51551 14365 465 
102302 28282 920 
153552 42632 1333 
204145 56826 1757 
255524 69939 2187 
306956 84734 2616 
358635 98203 3038 
409357 112740 3481 
459814 126919 3935 
510667 141406 4386 
560359 156014 4825 
611113 170837 5254 
662294 185470 5683 
712621 200094 6122 
762849 214725 6514 
813903 229231 6973 
864886 243863 7368 
915262 258517 7774  

theta = 70°

52790 13998 350 
105277 27219 682 
157950 41429 1083 
211045 55226 1496 
263128 69155 1868 
315555 82809 2225 
368120 96452 2596 
420900 110432 2928 
473706 124411 3319 
526848 138680 3691 
579133 153092 4101 
631170 167406 4451 
683796 181233 4834 
735473 195218 5213 
788542 208968 5605 
841662 222993 5990 
894037 236992 6343 
946197 250685 6672 

theta = 80°

56519 15055 352 
113955 29346 729 
170393 43560 1061 
227195 58122 1402 
283650 72713 1758 
340346 87132 2065 
396727 102003 2390 
452882 116836 2749 
509329 131509 3113 
565801 146080 3446 
622796 161218 3779 
679560 175739 4180 
735355 190462 4460 
792264 205039 4820 
848322 219961 5139 
905316 234078 5474 
961029 248881 5795 
1017156 263978 6142  

theta = 90°

56151 13834 282 
113938 27529 583 
171618 41696 917 
229646 56026 1227 
287511 70357 1570 
344771 84604 1882 
402368 98919 2185 
460073 113491 2492 
516568 127736 2792 
574364 142354 3152 
631996 156741 3442 
689821 171585 3795 
748898 185865 4149 
806735 200117 4500 
864435 214231 4852 
922654 228724 5177 
979977 243098 5549 
1037734 257996 5917  

* Rotazioni verso Ovest

theta = -10°

 I prova
54858 15317 1235 
109151 30290 2515 
163381 45072 3781 
218144 59992 5112 
271590 75233 6293 
325500 90355 7510 
379956 105193 8773 
434962 120579 10212 
489568 135963 11440 
544535 150857 12765 
598146 165933 14098 
651534 181088 15269 
705826 196559 16426 
758914 211904 17672 
813038 227427 18912 
866904 242868 20181 
921341 257805 21454 
975147 273249 22623  

 II prova

theta = -20°

 I prova
53577 15641 1255 
107079 31437 2496 
160381 46837 3641 
214194 62251 4889 
268080 78118 6164 
321449 93773 7389 
374018 109244 8484 
428138 124700 9850 
480603 139589 10970 
532991 155082 12179 
586391 170615 13297 
639601 185757 14470 
692373 200592 15542 
745756 215562 16680 
797998 230942 17780 
851905 246255 19089 
905265 261474 20266 
958711 276551 21492 

 II prova
52937 13166 623 
104861 26218 1193 
156372 38980 1806 
209010 51554 2430 
260624 63967 2990 
313998 76627 3626 
366740 89820 4253 
418916 102629 4831 
472930 115603 5512 
524906 128861 6123 
577436 142030 6735 
628708 154831 7285 
680910 167862 7943 
733384 179484 8505 
785616 192289 9042 
837674 205780 9686 
890204 219200 10341 
942062 232632 10862   

theta = -30°

 I prova
53489 13485 1222 
107225 26937 2580 
160733 39470 3828 
214010 52551 4908 
267695 66027 6250 
320712 79622 7420 
373888 92770 8630 
427354 106457 9983 
480591 120179 11224 
534618 133759 12540 
587479 146856 13752 
640816 159267 14858 
694375 172687 16084 
747188 186093 17322 
800378 198991 18534 
854089 212112 19825 
907527 225370 21042 
960184 238326 22223  

 II prova
53670 13720 1221 
107659 26852 2492 
161528 40206 3770 
214518 53560 4907 
268400 66788 6210 
321510 79934 7491 
374165 93102 8761 
